time,in or out
8:27:31,Out
8:27:33,Out
8:27:33,Out
8:27:34,In
8:27:34,In
8:27:36,Out
8:27:36,Out
8:27:37,Out
8:27:37,Out
8:27:40,Out
8:27:40,Out
8:27:49,Out
8:27:49,Out
8:27:53,Out
8:27:53,Out
8:27:54,In
8:27:57,In
8:27:58,In
8:28:00,In
8:28:00,Out
8:28:01,In
8:28:01,In
8:28:02,Out
8:28:02,Out
8:28:03,Out
8:28:03,Out
8:28:03,Out
8:28:03,Out
8:28:04,In
8:28:05,Out
8:28:05,Out
8:28:05,Out
8:28:06,In
8:28:08,In
8:28:08,In
8:28:10,In
8:28:11,In
8:28:12,Out
8:28:12,In
8:28:13,Out
8:28:14,In
8:28:15,In
8:28:15,In
8:28:15,In
8:28:15,In
8:28:16,In
8:28:16,In
8:28:16,In
8:28:23,In
8:28:26,In
8:28:32,In
8:28:43,Out
8:28:45,Out
8:28:58,Out
8:28:58,Out
8:28:59,Out
8:28:59,Out
8:29:01,Out
8:29:01,Out
8:29:01,In
8:29:04,Out
8:29:11,Out
8:29:12,Out
8:29:12,Out
8:29:12,Out
8:29:13,Out
8:29:14,In
8:29:20,In
8:29:34,Out
8:29:34,Out
8:29:35,Out
8:29:36,Out
8:29:38,Out
8:29:38,Out
8:29:44,In
8:29:51,Out
8:29:52,Out
8:29:54,In
8:29:56,Out
8:29:57,In
8:29:57,Out
8:29:58,Out
8:29:58,In
8:29:58,Out
8:29:58,In
8:29:59,Out
8:30:03,Out
8:30:05,Out
8:30:05,In
8:30:08,Out
8:30:09,Out
8:30:09,In
8:30:09,Out
8:30:10,Out
8:30:10,Out
8:30:10,In
8:30:11,Out
8:40:32,Out
8:40:32,In
8:40:32,In
8:40:32,Out
8:40:34,In
8:40:34,In
8:40:34,In
8:40:34,In
8:40:34,Out
8:40:34,Out
8:40:36,In
8:40:36,In
8:40:36,In
8:40:39,In
8:40:39,Out
8:40:40,Out
8:40:41,In
8:40:41,Out
8:40:43,Out
8:40:44,Out
8:40:44,In
8:40:44,Out
8:40:44,In
8:40:45,Out
8:40:45,Out
8:40:46,Out
8:40:46,In
8:40:46,Out
8:40:46,Out
8:40:47,In
8:40:47,Out
8:40:47,In
8:40:47,Out
8:40:48,Out
8:40:48,In
8:40:49,Out
8:40:49,In
8:40:49,Out
8:40:49,In
8:40:52,Out
8:40:52,Out
8:40:53,In
8:40:53,Out
8:40:53,In
8:40:53,In
8:40:53,Out
8:40:54,Out
8:40:55,In
8:40:56,Out
8:40:58,Out
8:41:00,In
8:41:00,In
8:41:00,In
8:41:00,Out
8:41:00,In
8:41:01,In
8:41:01,Out
8:41:01,Out
8:41:01,In
8:41:01,In
8:41:06,Out
8:41:06,In
8:41:07,Out
8:41:07,Out
8:41:08,Out
8:41:08,In
8:41:08,Out
8:41:08,In
8:41:09,In
8:41:09,In
8:41:10,In
8:41:13,Out
8:41:14,In
8:41:14,Out
8:41:15,Out
8:41:15,Out
8:41:15,Out
8:41:15,Out
8:41:15,Out
8:41:16,In
8:41:16,Out
8:41:16,Out
8:41:18,Out
8:41:19,In
8:41:20,In
8:41:20,Out
8:41:20,Out
8:41:20,Out
8:41:21,Out
8:41:21,Out
8:41:21,In
8:41:21,Out
8:41:22,In
8:41:22,Out
8:41:24,In
8:41:24,In
8:41:25,In
8:41:27,In
8:41:28,Out
8:41:28,Out
8:41:29,Out
