time,in or out
8:11:34,Out
8:11:34,Out
8:11:35,In
8:11:36,Out
8:11:36,Out
8:11:36,Out
8:11:37,Out
8:11:37,Out
8:11:37,Out
8:11:38,Out
8:11:38,Out
8:11:39,Out
8:11:39,Out
8:11:39,Out
8:11:40,Out
8:11:40,In
8:11:40,Out
8:11:41,Out
8:11:41,Out
8:11:41,Out
8:11:41,Out
8:11:41,Out
8:11:41,Out
8:11:41,Out
8:11:42,Out
8:11:42,Out
8:11:42,Out
8:11:42,Out
8:11:43,Out
8:11:44,Out
8:11:44,Out
8:11:45,Out
8:11:45,Out
8:11:46,Out
8:11:47,Out
8:11:48,Out
8:11:48,Out
8:11:48,Out
8:11:49,Out
8:11:49,Out
8:11:51,Out
8:11:51,Out
8:11:51,Out
8:11:51,In
8:11:51,Out
8:11:51,In
8:11:51,Out
8:11:51,Out
8:11:52,Out
8:11:52,Out
8:11:52,Out
8:11:53,Out
8:11:54,Out
8:11:54,In
8:11:54,In
8:11:54,In
8:11:54,Out
8:11:54,Out
8:11:55,Out
8:11:56,Out
8:11:56,Out
8:11:56,Out
8:11:57,Out
8:11:58,Out
8:11:58,Out
8:11:59,Out
8:11:59,Out
8:11:59,Out
8:12:00,Out
8:12:00,Out
8:12:00,Out
8:12:01,Out
8:12:01,Out
8:12:01,Out
8:12:02,Out
8:12:02,Out
8:12:03,Out
8:12:03,Out
8:12:04,In
8:12:05,In
8:12:05,Out
8:12:05,Out
8:12:05,Out
8:12:06,Out
8:12:07,Out
8:12:08,Out
8:12:09,In
8:12:09,Out
8:12:09,Out
8:12:10,In
8:12:10,Out
8:12:11,Out
8:12:12,Out
8:12:12,Out
8:12:12,Out
8:12:13,Out
8:12:13,Out
8:12:13,Out
8:12:14,In
8:12:14,In
8:12:14,Out
8:12:14,Out
8:12:15,Out
8:12:15,In
8:12:17,Out
8:12:18,In
8:12:18,Out
8:12:18,In
8:12:19,Out
8:12:19,Out
8:12:19,Out
8:12:19,Out
8:12:20,Out
8:12:20,Out
8:12:21,Out
8:12:22,In
8:12:22,Out
8:12:22,Out
8:12:23,In
8:12:23,Out
8:12:25,Out
8:12:25,Out
8:12:26,Out
8:12:26,Out
8:12:27,Out
8:12:27,In
8:12:27,Out
8:12:28,Out
